,index,avg,name
563,2019-06,187781.4312,TX
564,2019-07,188313.656,TX
565,2019-08,188878.0268,TX
566,2019-09,189604.7466,TX
567,2019-10,189986.887,TX
568,2019-11,190192.8999,TX
569,2019-12,190232.552,TX
570,1996-04,113983.7843,MO
571,1996-05,113972.9902,MO
572,1996-06,109956.0273,MO
573,1996-07,110155.6909,MO
574,1996-08,110561.5091,MO
575,1996-09,111220.5545,MO
576,1996-10,111931.4182,MO
577,1996-11,112500.9455,MO
578,1996-12,112913.4091,MO
579,1997-01,115372.4481,MO
580,1997-02,115228.7722,MO
581,1997-03,115128.675,MO
582,1997-04,115013.6087,MO
583,1997-05,113602.8383,MO
584,1997-06,112480.8421,MO
585,1997-07,112712.0872,MO
586,1997-08,113466.5568,MO
587,1997-09,113919.427,MO
588,1997-10,114312.4054,MO
589,1997-11,114753.0649,MO
590,1997-12,115194.8919,MO
591,1998-01,115604.4946,MO
592,1998-02,116153.6667,MO
593,1998-03,115600.4074,MO
594,1998-04,115817.9048,MO
595,1998-05,115934.7989,MO
596,1998-06,116174.1534,MO
597,1998-07,116510.5661,MO
598,1998-08,116910.1693,MO
599,1998-09,117078.6684,MO
600,1998-10,117481.6737,MO
601,1998-11,117950.6211,MO
602,1998-12,118484.0105,MO
603,1999-01,118839.2094,MO
604,1999-02,119409.7277,MO
605,1999-03,119213.7409,MO
606,1999-04,119698.9948,MO
607,1999-05,119482.8732,MO
608,1999-06,119970.1512,MO
609,1999-07,119962.9855,MO
610,1999-08,120558.5817,MO
611,1999-09,119882.9343,MO
612,1999-10,120397.1643,MO
613,1999-11,119753.3929,MO
614,1999-12,119787.0089,MO
615,2000-01,120400.5511,MO
616,2000-02,120339.7401,MO
617,2000-03,120931.6872,MO
618,2000-04,120022.4231,MO
619,2000-05,120337.8723,MO
620,2000-06,120099.0544,MO
621,2000-07,120527.6167,MO
622,2000-08,120885.7842,MO
623,2000-09,121370.8512,MO
624,2000-10,122115.8595,MO
625,2000-11,122767.0412,MO
626,2000-12,123372.6337,MO
627,2001-01,123957.6311,MO
628,2001-02,124366.9713,MO
629,2001-03,124871.1557,MO
630,2001-04,125396.6066,MO
631,2001-05,125897.7459,MO
632,2001-06,126520.2582,MO
633,2001-07,127161.2418,MO
634,2001-08,127898.9167,MO
635,2001-09,128507.0278,MO
636,2001-10,129145.254,MO
637,2001-11,129799.25,MO
638,2001-12,130458.8413,MO
639,2002-01,131112.9881,MO
640,2002-02,131210.9685,MO
641,2002-03,131655.7874,MO
642,2002-04,132016.4803,MO
643,2002-05,132303.7047,MO
644,2002-06,132735.2126,MO
645,2002-07,133221.9173,MO
646,2002-08,133760.0197,MO
647,2002-09,134386.4803,MO
648,2002-10,134860.2824,MO
649,2002-11,135492.6863,MO
650,2002-12,136061.9255,MO
651,2003-01,136338.0938,MO
652,2003-02,136981.4492,MO
653,2003-03,137465.7813,MO
654,2003-04,137975.6367,MO
655,2003-05,138523.2617,MO
656,2003-06,139218.75,MO
657,2003-07,139932.0664,MO
658,2003-08,139939.2948,MO
659,2003-09,139561.1739,MO
660,2003-10,140554.9314,MO
661,2003-11,141426.2491,MO
662,2003-12,142197.1625,MO
663,2004-01,142796.5271,MO
664,2004-02,142718.4056,MO
665,2004-03,141282.3826,MO
666,2004-04,140509.8143,MO
667,2004-05,140644.5714,MO
668,2004-06,141034.7823,MO
669,2004-07,141702.1254,MO
670,2004-08,142331.0564,MO
671,2004-09,142916,MO
672,2004-10,143460.2163,MO
673,2004-11,144072.6313,MO
674,2004-12,144827.1875,MO
675,2005-01,144812.4862,MO
676,2005-02,143882.1879,MO
677,2005-03,142300.5591,MO
678,2005-04,139412.1085,MO
679,2005-05,136905.2075,MO
680,2005-06,134876.9232,MO
681,2005-07,133811.2371,MO
682,2005-08,134423.9567,MO
683,2005-09,134837.127,MO
684,2005-10,135174.3598,MO
685,2005-11,135565.6475,MO
686,2005-12,135774.9086,MO
687,2006-01,135739.3554,MO
688,2006-02,135943.7038,MO
689,2006-03,136091.5085,MO
690,2006-04,135874.6816,MO
691,2006-05,135484.3967,MO
692,2006-06,135689.3046,MO
693,2006-07,135551.2681,MO
694,2006-08,135855.5,MO
695,2006-09,136355.6733,MO
696,2006-10,136949.6895,MO
697,2006-11,137369.2058,MO
698,2006-12,137658.63,MO
699,2007-01,137754.9242,MO
700,2007-02,137664.9712,MO
701,2007-03,137403.7624,MO
